id	word	kana	meaning	type	example	exampleMeaning
n1-1-ああ	嗚呼	ああ	Ah!; Oh!; Alas!	词汇	「嗚呼」と彼は思わず声を上げた。	"Ah!!" he involuntarily exclaimed.
n1-2-あい	相	あい	together; mutually; fellow	前缀	この相を正しく理解することが大切だ。	It is important to correctly understand this together.
n1-3-あいかわらす	相変わらず	あいかわらず	as ever; as usual; the same	副词	彼は相変わらずその事実を受け入れた。	He as ever accepted that fact.
n1-4-あいそ	愛想	あいそ	civility; courtesy; compliments; sociability; graces	名词	新しい愛想の概念が注目を集めている。	A new concept of civility is attracting attention.
n1-5-あいそ-う	愛憎	あいぞう	likes and dislikes	名词	この愛憎を正しく理解することが大切だ。	It is important to correctly understand this likes and dislikes.
n1-6-あいたい	相対	あいたい	confrontation; facing; between ourselves; no third party; tete-a-tete	名词	相対に関する報告書がまとめられた。	A report on confrontation was compiled.
n1-7-あいた-か-ら	間柄	あいだがら	relation(ship)	名词	彼とは親しい間柄だ。	We have a close relationship.
n1-8-あいま	合間	あいま	interval	名词	新しい合間の概念が注目を集めている。	A new concept of interval is attracting attention.
n1-9-あえて	敢えて	あえて	dare (to do); challenge (to do)	副词	彼は敢えて仕事に取り組んでいる。	He is dare (to do) working on the task.
n1-10-あおく	仰ぐ	あおぐ	to look up (to); to respect; to depend on; to ask for; to seek; to revere; to drink; to take	动词	彼女は見事に仰ぐことができた。	She was able to look up (to) splendidly.
n1-11-あか	垢	あか	dirt; filth	名词	体の垢を落とす。	I wash off the dirt from my body.
n1-12-あか	亜科	あか	suborder; subfamily	名词/动词	この問題を早急に亜科する必要がある。	It is necessary to promptly carry out suborder on this issue.
n1-13-あかか-ね	銅	あかがね	copper	名词	日本の銅は世界的に注目されている。	Japan's copper is attracting worldwide attention.
n1-14-あかし	証	あかし	proof; evidence	名词	彼は証について深く研究している。	He is deeply researching proof.
n1-15-あかし	赤字	あかじ	deficit; go in the red	名词	彼は赤字について深く研究している。	He is deeply researching deficit.
n1-16-あかす	明かす	あかす	to pass; spend; to reveal; to divulge	动词	いつか明かす日が来るだろう。	The day to pass will surely come.
n1-17-あかちゃん	赤ちゃん	あかちゃん	baby; infant	名词	赤ちゃんが泣いている。	The baby is crying.
n1-18-あからさま	明白	あからさま	obvious; overt; plainly; frankly	形容词	彼女は明白な人として知られている。	She is known as an obvious person.
n1-19-あからむ	赤らむ	あからむ	to become red; to redden; to blush	动词	この件について赤らむ必要がある。	It is necessary to become red regarding this matter.
n1-20-あかるい	明るい	あかるい	bright; cheerful	形容词	彼女の歌声は明るい。	Her singing voice is bright.
n1-21-あか-り	上がり	あがり	1. slope; advance income; crop yield; ascent; rise; advance; death; spinning; completion; stop; finish; after	名词	仕事上がりに飲みに行った。	I went drinking after work.
n1-22-あか-る	上がる	あがる	to enter; to go up; to rise; to climb up; to advance; to appreciate; to be promoted; to improve; to call on	动词	いつか上がる日が来るだろう。	The day to enter will surely come.
n1-23-あきうと	商人	あきうど	trader; shopkeeper; merchant	名词/动词	効果的な商人が求められている。	Effective trader is being sought.
n1-24-あきま	空間	あきま	vacancy; room for rent or lease	名词	空間を有効活用する。	I make effective use of the space.
n1-25-あきらめ	諦め	あきらめ	resignation; acceptance; consolation	名词/动词	効果的な諦めが求められている。	Effective resignation is being sought.
n1-26-あきれる	呆れる	あきれる	to be amazed; to be shocked	动词	彼は呆れることを決意した。	He resolved to be amazed.
n1-27-あく	悪	あく	evil; wickedness	名词	彼は悪について深く研究している。	He is deeply researching evil.
n1-28-あく	灰汁	あく	puckery juice	名词	野菜の灰汁を取る。	I remove the bitterness from vegetables.
n1-29-あくと-い	悪どい	あくどい	1. gaudy; showy; excessive; 2. vicious	形容词	彼女の歌声は悪どい。	Her singing voice is 1. gaudy.
n1-30-あくひ	悪日	あくび	unlucky day	形容词	彼女は悪日な人として知られている。	She is known as an unlucky day person.
n1-31-あくる	明くる	あくる	next; following	词汇	それは明くる問題だ。	That is a next problem.
n1-32-あこか-れ	憧れ	あこがれ	yearning; longing; aspiration	名词	この憧れを正しく理解することが大切だ。	It is important to correctly understand this yearning.
n1-33-あこ	顎	あご	chin	名词	顎を引いて立つ。	Stand with your chin tucked in.
n1-34-あさ	麻	あさ	flax; linen; hemp	名词	麻のシャツを着ている。	I'm wearing a linen shirt.
n1-35-あさって	明後日	あさって	day after tomorrow	名词	明後日までに終わらせる。	I'll finish by the day after tomorrow.
n1-36-あさねほ-う	朝寝坊	あさねぼう	oversleeping; late riser	名词	新しい朝寝坊の概念が注目を集めている。	A new concept of oversleeping is attracting attention.
n1-37-あさましい	浅ましい	あさましい	wretched; miserable; shameful; mean; despicable; abject	形容词	彼の発言はかなり浅ましい。	His remarks are quite wretched.
n1-38-あさ	字	あざ	section of village	名词	この字は読みにくい。	This section of the village is hard to find.
n1-39-あさ-むく	欺く	あざむく	to deceive	动词	いつか欺く日が来るだろう。	The day to deceive will surely come.
n1-40-あさ-やか	鮮やか	あざやか	vivid; clear; brilliant	形容词	その結果は実に鮮やかだった。	The result was truly vivid.
n1-41-あさ-わらう	あざ笑う	あざわらう	to sneer at; to ridicule	动词	私たちはあざ笑うために努力した。	We made efforts to sneer at.
n1-42-あし-わい	味わい	あじわい	flavour; meaning; significance	名词	この料理は味わい深い。	This dish has a rich flavor.
n1-43-あす-ま	東	あずま	east; Eastern Japan	名词	東の空が明るい。	The eastern sky is bright.
n1-44-あせる	焦る	あせる	to be in a hurry; to be impatient	动词	社長が社員に焦るよう指示した。	The president instructed the employees to be in a hurry.
