id	word	kana	meaning	type	example	exampleMeaning
n2-1-あいかわらす	あいかわらず	あいかわらず	as ever,as usual,the same	名词	彼は相変わらず元気そうだね。	He looks as energetic as ever.
n2-2-あいまい	曖昧	あいまい	vague,ambiguous	形容词	この場所はとても曖昧。	This place is very vague.
n2-3-あう	遭う	あう	to meet,to encounter (undesirable nuance)	动词	もっと遭う必要がある。	There is a need to to meet more.
n2-4-あおく	扇ぐ	あおぐ	to fan,to flap	动词	扇ぐことにした。	I decided to to fan.
n2-5-あおし-ろい	青白い	あおじろい	pale,pallid	名词	徹夜明けで顔が青白い。	My face is pale from staying up all night.
n2-6-あかんほ-う	あかんぼう	あかんぼう	baby	名词	隣の家に赤ん坊が生まれた。	A baby was born at the house next door.
n2-7-あき	明き	あき	room,time to spare,emptiness	名词	この部屋には空きがありますか。	Is there any vacancy in this room?
n2-8-あきれる	あきれる	あきれる	to be amazed,to be shocked	动词	あきれるのは難しい。	It is difficult to to be amazed.
n2-9-あくひ	欠伸	あくび	yawn	名词	授業中に欠伸をしてしまった。	I accidentally yawned during class.
n2-10-あくまて	飽くまで	あくまで	to the end,to the last,stubbornly	动词	毎日飽くまでようにしている。	I try to to the end every day.
n2-11-あけか-た	明け方	あけがた	dawn	名词	明け方まで友達と話していた。	I was talking with my friend until dawn.
n2-12-あけ-る	揚げる	あげる	to lift,to fry	动词	揚げるのは難しい。	It is difficult to to lift.
n2-13-あこか-れる	憧れる	あこがれる	to long for,to yearn after,to admire	动词	憧れるのは難しい。	It is difficult to to long for.
n2-14-あしあと	足跡	あしあと	footprints	副词	足跡に関する問題が出た。	A question about footprints came up.
n2-15-あし-わう	味わう	あじわう	to taste,to savor,to relish	动词	味わうのは難しい。	It is difficult to to taste.
n2-16-あす-かる	預かる	あずかる	to keep in custody,to receive on deposit,to take charge of	动词	彼は預かることができる。	He can to keep in custody.
n2-17-あたたまる	暖まる	あたたまる	to warm up,to get warm	动词	暖まるのは難しい。	It is difficult to to warm up.
n2-18-あたためる	暖める	あたためる	to warm,to heat	动词	彼は暖めることができる。	He can to warm.
n2-19-あたりまえ	あたりまえ	あたりまえ	usual,common,ordinary	名词	あたりまえに関する問題が出た。	A question about usual came up.
n2-20-あちらこちら	あちらこちら	あちらこちら	here and there	名词	あちらこちらに関する問題が出た。	A question about here and there came up.
n2-21-あっしゅく	圧縮	あっしゅく	compression,condensation,pressure	名词	圧縮に関する問題が出た。	A question about compression came up.
n2-22-あつかましい	厚かましい	あつかましい	impudent,shameless,brazen	名词	そんな厚かましいお願いはできない。	I can't make such a shameless request.
n2-23-あてな	宛名	あてな	address,direction	名词	手紙の宛名を間違えた。	I wrote the wrong address on the letter.
n2-24-あてはまる	あてはまる	あてはまる	to be applicable,to come under (a category),to fulfill	动词	彼はあてはまることができる。	He can to be applicable.
n2-25-あてはめる	あてはめる	あてはめる	to apply,to adapt	动词	毎日あてはめるようにしている。	I try to to apply every day.
n2-26-あは-れる	暴れる	あばれる	to act violently,to rage,to struggle,to be riotous	动词	もっと暴れる必要がある。	There is a need to to act violently more.
n2-27-あふれる	あふれる	あふれる	to flood,to overflow,to brim over	动词	あふれるのは難しい。	It is difficult to to flood.
n2-28-あふ-ら	脂	あぶら	fat,tallow,lard	名词	脂に関する問題が出た。	A question about fat came up.
n2-29-あふ-る	あぶる	あぶる	to scorch	动词	もっとあぶる必要がある。	There is a need to to scorch more.
n2-30-あまと	雨戸	あまど	sliding storm door	名词	台風が来るので雨戸を閉めた。	I closed the storm shutters because a typhoon is coming.
n2-31-あまやかす	甘やかす	あまやかす	to pamper,to spoil	动词	甘やかすのは難しい。	It is difficult to to pamper.
n2-32-あまる	余る	あまる	to remain,to be left over,to be in excess,to be too many	动词	もっと余る必要がある。	There is a need to to remain more.
n2-33-あみもの	編物	あみもの	knitting,web	名词	祖母は編物が上手だ。	My grandmother is good at knitting.
n2-34-あむ	編む	あむ	to knit	动词	編むことにした。	I decided to to knit.
n2-35-あやうい	危うい	あやうい	dangerous,critical,grave	名词	危ういを理解することが大切だ。	It is important to understand dangerous.
n2-36-あやしい	怪しい	あやしい	suspicious,dubious,doubtful	名词	あの人の行動は怪しい。	That person's behavior is suspicious.
n2-37-あらい	荒い	あらい	rough,rude,wild	名词	今日は波が荒い。	The waves are rough today.
n2-38-あらすし	あらすじ	あらすじ	outline,summary	名词	あらすじに関する問題が出た。	A question about outline came up.
n2-39-あらそう	争う	あらそう	to dispute,to argue,to be at variance,to compete	动词	彼は争うことができる。	He can to dispute.
n2-40-あらためて	改めて	あらためて	another time,again,over again,anew,formally	名词	改めてお礼を申し上げます。	I would like to thank you once again formally.
n2-41-あらためる	改める	あらためる	to change,to alter,to reform,to revise	动词	もっと改める必要がある。	There is a need to to change more.
n2-42-あらわす	著す	あらわす	to write,to publish	动词	もっと著す必要がある。	There is a need to to write more.
n2-43-ありか-たい	有難い	ありがたい	grateful,thankful,welcome,appreciated,evoking gratitude	名词	手伝ってくれて有難いです。	I'm grateful that you helped me.
n2-44-ある	在る	ある	to live,to be	动词	在ることにした。	I decided to to live.
n2-45-あれこれ	あれこれ	あれこれ	one thing or another,this and that,this or that	名词	引っ越しであれこれ忙しい。	I'm busy with this and that for the move.
n2-46-あわたた-しい	あわただしい	あわただしい	busy,hurried,confused,flurried	名词	今朝はあわただしい朝だった。	This morning was a hectic morning.
n2-47-あわてる	あわてる	あわてる	to become confused	动词	毎日あわてるようにしている。	I try to to become confused every day.
n2-48-あんい	安易	あんい	easy-going	形容词	安易な考えで決めてはいけない。	You shouldn't decide with an easy-going mindset.
n2-49-あんか-い	案外	あんがい	unexpectedly	名词	案外に関する問題が出た。	A question about unexpectedly came up.
n2-50-いいた-す	言い出す	いいだす	to start talking,to speak,to tell,to propose,to suggest,to break the ice	动词	もっと言い出す必要がある。	There is a need to to start talking more.
