id	word	kana	meaning	type	example	exampleMeaning
n4-1-あ	あ	あ	Ah; oh	表达	「あ」を使って文を作ります。	用「あ」造句。
n4-2-ああ	ああ	ああ	ah; yes	副词	「ああ」を使って文を作ります。	用「ああ」造句。
n4-3-アフリカ	アフリカ	アフリカ	非洲	外来语	「アフリカ」を使って文を作ります。	用「アフリカ」造句。
n4-4-あか-る	上がる	あがる	上升	动词	「上がる」を使って文を作ります。	用「上がる」造句。
n4-aisatsu	挨拶	あいさつ	问候、打招呼	动词	「挨拶」を使って文を作ります。	用「挨拶」造句。
n4-aji	味	あじ	flavor; taste​; uniqueness; attractiveness; experience	名词	「味」を使って文を作ります。	用「味」造句。
n4-7-アシ-ア	アジア	アジア	亚洲	外来语	「アジア」を使って文を作ります。	用「アジア」造句。
n4-akachan	赤ちゃん	あかちゃん	婴儿	名词	「赤ちゃん」を使って文を作ります。	用「赤ちゃん」造句。
n4-9-あかんほ-う	赤ん坊	あかんぼう	婴儿	名词	「赤ん坊」を使って文を作ります。	用「赤ん坊」造句。
n4-10-アクセサリー	アクセサリー	アクセサリー	饰品、配件	外来语	「アクセサリー」を使って文を作ります。	用「アクセサリー」造句。
n4-11-アメリカ	アメリカ	アメリカ	美国	外来语	「アメリカ」を使って文を作ります。	用「アメリカ」造句。
n4-12-アナウンサー	アナウンサー	アナウンサー	播音员	外来语	「アナウンサー」を使って文を作ります。	用「アナウンサー」造句。
n4-13-あんな	あんな	あんな	那样的	连体词	「あんな」を使って文を作ります。	用「あんな」造句。
n4-anna	案内	あんない	带路、介绍	动词	「案内」を使って文を作ります。	用「案内」造句。
n4-15-あんしん	安心	あんしん	安心、放心	形容词	「安心」を使って文を作ります。	用「安心」造句。
n4-anzen	安全	あんぜん	safety; security​	形容词	「安全」を使って文を作ります。	用「安全」造句。
n4-17-アルハ-イト	アルバイト	アルバイト	兼职	动词	「アルバイト」を使って文を作ります。	用「アルバイト」造句。
n4-18-アルコール	アルコール	アルコール	酒精	外来语	「アルコール」を使って文を作ります。	用「アルコール」造句。
n4-19-あさい	浅い	あさい	浅的	形容词	「浅い」を使って文を作ります。	用「浅い」造句。
